Latitude,Longitude,Altitude,eOrw,nOrs,Date,Course,Speed,BrdTemp,Pressure,relHumidity
-52.0502,94.172,1444.0,W,N,2023-06-01 04:00:00,185.3,27.7,-21.4,1081.91,1020.12
14.1792,-143.0052,2430.5,W,S,2023-06-01 17:00:00,70.4,8.9,0.8,1095.36,959.03
6.3011,-77.888,2663.4,E,N,2023-06-01 12:00:00,344.0,3.2,-5.6,986.15,911.87
17.3111,163.4471,2.4,W,N,2023-06-01 11:00:00,212.2,24.9,-8.6,933.71,1088.61
-6.0215,105.1006,1377.7,E,N,2023-06-01 23:00:00,219.8,6.4,19.7,973.29,1013.24
-15.155,2.8077,1417.5,E,S,2023-06-01 02:00:00,186.5,11.3,9.2,1073.39,968.81
-72.5011,93.4638,2127.5,W,N,2023-06-01 09:00:00,74.5,3.0,-30.8,981.38,991.65
-58.914,95.345,3226.5,E,S,2023-06-01 19:00:00,14.2,27.3,11.3,927.64,949.99
-25.4775,143.8806,382.4,W,N,2023-06-01 17:00:00,122.8,8.5,15.7,911.47,965.45
-18.6352,-67.6155,209.9,E,N,2023-06-01 21:00:00,320.5,9.7,-43.7,1069.39,950.37
-9.6286,70.7283,2048.1,E,S,2023-06-01 16:00:00,281.4,6.5,46.8,1099.78,902.5
67.5764,-53.4349,1896.6,W,S,2023-06-01 11:00:00,6.4,4.6,-19.5,1065.17,1088.91
-59.2429,-147.4699,1648.8,E,S,2023-06-01 19:00:00,332.7,6.4,4.8,1063.9,1024.18
52.827,78.9729,3174.6,W,N,2023-06-01 09:00:00,136.7,14.3,25.8,1077.13,933.86
-48.165,83.4625,2289.2,E,S,2023-06-01 13:00:00,249.2,1.2,22.9,1029.52,1007.96
77.6639,-137.7298,2098.2,W,S,2023-06-01 06:00:00,150.4,16.4,-5.9,1049.23,943.56
79.0423,107.2746,2827.7,W,N,2023-06-01 14:00:00,194.0,14.8,-8.8,1097.78,1073.73
-14.7858,75.4647,816.4,W,N,2023-06-01 09:00:00,220.5,4.8,20.9,903.97,1053.5
